Emotion: afraid; topic: 1; n_stories: 5;
Emotion: guilty; topic: 5; n_stories: 5;
Emotion: guilty; topic: 6; n_stories: 5;
Emotion: guilty; topic: 7; n_stories: 5;
Emotion: guilty; topic: 8; n_stories: 5;
Emotion: guilty; topic: 9; n_stories: 5;
Emotion: guilty; topic: 10; n_stories: 5;


Emotion: happy; topic: 1; n_stories: 5;
Emotion: happy; topic: 2; n_stories: 5;
Emotion: happy; topic: 3; n_stories: 5;
Emotion: happy; topic: 4; n_stories: 5;
Emotion: happy; topic: 5; n_stories: 5;
Emotion: happy; topic: 6; n_stories: 5;
Emotion: happy; topic: 7; n_stories: 5;
Emotion: happy; topic: 8; n_stories: 5;
Emotion: happy; topic: 9; n_stories: 5;
Emotion: happy; topic: 10; n_stories: 5;


Emotion: hopeful; topic: 1; n_stories: 5;
Emotion: hopeful; topic: 2; n_stories: 5;
Emotion: hopeful; topic: 3; n_stories: 5;
Emotion: hopeful; topic: 4; n_stories: 5;
Emotion: hopeful; topic: 5; n_stories: 5;
Emotion: hopeful; topic: 6; n_stories: 5;
Emotion: hopeful; topic: 7; n_stories: 5;
Emotion: hopeful; topic: 8; n_stories: 5;
Emotion: hopeful; topic: 9; n_stories: 5;
Emotion: hopeful; topic: 10; n_stories: 5;


Emotion: inspired; topic: 1; n_stories: 5;
Emotion: inspired; topic: 2; n_stories: 5;
Emotion: inspired; topic: 3; n_stories: 5;
Emotion: inspired; topic: 4; n_stories: 5;
Emotion: inspired; topic: 5; n_stories: 5;
Emotion: inspired; topic: 6; n_stories: 5;
Emotion: inspired; topic: 7; n_stories: 5;
Emotion: inspired; topic: 8; n_stories: 5;
Emotion: inspired; topic: 9; n_stories: 5;
Emotion: inspired; topic: 10; n_stories: 5;


Emotion: lonely; topic: 1; n_stories: 5;
Emotion: lonely; topic: 2; n_stories: 5;
Emotion: lonely; topic: 3; n_stories: 5;
Emotion: lonely; topic: 4; n_stories: 5;
Emotion: lonely; topic: 5; n_stories: 5;
Emotion: lonely; topic: 6; n_stories: 5;
Emotion: lonely; topic: 7; n_stories: 5;
Emotion: lonely; topic: 8; n_stories: 5;
Emotion: lonely; topic: 9; n_stories: 5;
Emotion: lonely; topic: 10; n_stories: 5;


Emotion: loving; topic: 1; n_stories: 5;
Emotion: loving; topic: 2; n_stories: 5;
Emotion: loving; topic: 3; n_stories: 5;
Emotion: loving; topic: 4; n_stories: 5;
Emotion: loving; topic: 5; n_stories: 5;
Emotion: loving; topic: 6; n_stories: 5;
Emotion: loving; topic: 7; n_stories: 5;
Emotion: loving; topic: 8; n_stories: 5;
Emotion: loving; topic: 9; n_stories: 5;
Emotion: loving; topic: 10; n_stories: 5;


Emotion: nervous; topic: 1; n_stories: 5;
Emotion: nervous; topic: 2; n_stories: 5;
Emotion: nervous; topic: 3; n_stories: 5;
Emotion: nervous; topic: 4; n_stories: 5;
Emotion: nervous; topic: 5; n_stories: 5;
Emotion: nervous; topic: 6; n_stories: 5;
Emotion: nervous; topic: 7; n_stories: 5;
Emotion: nervous; topic: 8; n_stories: 5;
Emotion: nervous; topic: 9; n_stories: 5;
Emotion: nervous; topic: 10; n_stories: 5;


Emotion: playful; topic: 1; n_stories: 5;
Emotion: playful; topic: 2; n_stories: 5;
Emotion: playful; topic: 3; n_stories: 5;
Emotion: playful; topic: 4; n_stories: 5;
Emotion: playful; topic: 5; n_stories: 5;
Emotion: playful; topic: 6; n_stories: 5;
Emotion: playful; topic: 7; n_stories: 5;
Emotion: playful; topic: 8; n_stories: 5;
Emotion: playful; topic: 9; n_stories: 5;
Emotion: playful; topic: 10; n_stories: 5;


Emotion: proud; topic: 1; n_stories: 5;
Emotion: proud; topic: 2; n_stories: 5;
Emotion: proud; topic: 3; n_stories: 5;
Emotion: proud; topic: 4; n_stories: 5;
Emotion: proud; topic: 5; n_stories: 5;
Emotion: proud; topic: 6; n_stories: 5;
Emotion: proud; topic: 7; n_stories: 5;
Emotion: proud; topic: 8; n_stories: 5;
Emotion: proud; topic: 9; n_stories: 5;
Emotion: proud; topic: 10; n_stories: 5;


Emotion: sad; topic: 1; n_stories: 5;
Emotion: sad; topic: 2; n_stories: 5;
Emotion: sad; topic: 3; n_stories: 5;
Emotion: sad; topic: 4; n_stories: 5;
Emotion: sad; topic: 5; n_stories: 5;
Emotion: sad; topic: 6; n_stories: 5;
Emotion: sad; topic: 7; n_stories: 5;
Emotion: sad; topic: 8; n_stories: 5;
Emotion: sad; topic: 9; n_stories: 5;
Emotion: sad; topic: 10; n_stories: 5;


Emotion: spiteful; topic: 1; n_stories: 5;
Emotion: spiteful; topic: 2; n_stories: 5;
Emotion: spiteful; topic: 3; n_stories: 5;
Emotion: spiteful; topic: 4; n_stories: 5;
Emotion: spiteful; topic: 5; n_stories: 5;
Emotion: spiteful; topic: 6; n_stories: 5;
Emotion: spiteful; topic: 7; n_stories: 5;
Emotion: spiteful; topic: 8; n_stories: 5;
Emotion: spiteful; topic: 9; n_stories: 5;
Emotion: spiteful; topic: 10; n_stories: 5;


Emotion: surprised; topic: 1; n_stories: 5;
Emotion: surprised; topic: 2; n_stories: 5;
Emotion: surprised; topic: 3; n_stories: 5;
Emotion: surprised; topic: 4; n_stories: 5;
Emotion: surprised; topic: 5; n_stories: 5;
Emotion: surprised; topic: 6; n_stories: 5;
Emotion: surprised; topic: 7; n_stories: 5;
Emotion: surprised; topic: 8; n_stories: 5;
Emotion: surprised; topic: 9; n_stories: 5;
Emotion: surprised; topic: 10; n_stories: 5;
